Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10026,2023-11-14,0.0450502069,-0.045534864,-0.050483278,21,100
Market-Adjusted Model,10028,2023-11-14,0.1033592019,0.0381334315,0.0078257172,21,100
Market-Adjusted Model,10032,2023-11-14,0.04774153,-0.043068198,-0.047791955,21,100
Market-Adjusted Model,10044,2023-11-14,0.0355329606,-0.053125725,-0.060000524,21,100
Market-Adjusted Model,10065,2023-11-14,0.1317640974,0.0326766088,0.0362306127,21,100
Market-Adjusted Model,10066,2023-11-14,-0.010416735,-0.090527959,-0.105950219,21,100
Market-Adjusted Model,10104,2023-11-14,0.1432365697,0.0434106252,0.0477030849,21,100
Market-Adjusted Model,10107,2023-11-14,0.1254295264,0.0278547638,0.0298960417,21,100
Market-Adjusted Model,10113,2023-11-14,0.141683309,0.0428578744,0.0461498243,21,100
Market-Adjusted Model,10138,2023-11-14,0.1015330699,0.0075611742,0.0059995852,21,100
Market-Adjusted Model,10145,2023-11-14,0.0870776221,-0.007612893,-0.008455863,21,100
Market-Adjusted Model,10158,2023-11-14,0.0256967448,-0.006695438,-0.06983674,21,100
Market-Adjusted Model,10200,2023-11-14,0.396951978,0.2679678146,0.3014184933,21,100
Market-Adjusted Model,10207,2023-11-14,0.0837508971,-0.009108838,-0.011782588,21,100
Market-Adjusted Model,10220,2023-11-14,0.0517498245,-0.039795475,-0.04378366,21,100
Market-Adjusted Model,10252,2023-11-14,0.1648914284,0.0672945877,0.0693579436,21,100
Market-Adjusted Model,10253,2023-11-14,-0.105034205,-0.180279314,-0.20056769,21,100
Market-Adjusted Model,10257,2023-11-14,-0.013698596,-0.102651704,-0.109232081,21,100
Market-Adjusted Model,10258,2023-11-14,0.2911893576,0.1875697739,0.1956558728,21,100
Market-Adjusted Model,10294,2023-11-14,0.26060157,0.1507989436,0.1650680853,21,100
Market-Adjusted Model,10308,2023-11-14,0.0751558122,-0.012055248,-0.020377673,21,100
Market-Adjusted Model,10318,2023-11-14,0.0809828708,-0.011221995,-0.014550614,21,100
Market-Adjusted Model,10333,2023-11-14,-0.170403579,-0.261282852,-0.265937064,21,100
Market-Adjusted Model,10355,2023-11-14,0.1122448959,0.0200790052,0.0167114112,21,100
Market-Adjusted Model,10382,2023-11-14,-0.218758439,-0.304238789,-0.314291924,21,100
Market-Adjusted Model,10397,2023-11-14,0.0881384676,-0.005493408,-0.007395017,21,100
Market-Adjusted Model,10421,2023-11-14,0.0672073604,-0.023572001,-0.028326124,21,100
Market-Adjusted Model,10443,2023-11-14,0.070435571,-0.021010446,-0.025097914,21,100
Market-Adjusted Model,10463,2023-11-14,-0.014084601,-0.098655011,-0.109618086,21,100
Market-Adjusted Model,10501,2023-11-14,0.0815315398,-0.007481661,-0.014001945,21,100
Market-Adjusted Model,10516,2023-11-14,0.0310266353,-0.060780262,-0.064506849,21,100
Market-Adjusted Model,10517,2023-11-14,-0.025594776,-0.111359944,-0.121128261,21,100
Market-Adjusted Model,10547,2023-11-14,0.1325510334,0.0418107266,0.0370175487,21,100
Market-Adjusted Model,10550,2023-11-14,-0.095117099,-0.18355141,-0.190650584,21,100
Market-Adjusted Model,10606,2023-11-14,0.1163630429,0.0222985947,0.0208295582,21,100
Market-Adjusted Model,10629,2023-11-14,0.1241768256,0.0291968581,0.0286433408,21,100
Market-Adjusted Model,10645,2023-11-14,-0.025593051,-0.114650958,-0.121126536,21,100
Market-Adjusted Model,10649,2023-11-14,0.1202830773,0.0296551659,0.0247495926,21,100
Market-Adjusted Model,10661,2023-11-14,0.0714285932,-0.010828771,-0.024104892,21,100
